object number,1kind,2UG,3UR,4UI,5UZ,6GR,7GI,8GZ,9RI,10RZ,11IZ,12UGER,13URER,14UIER,15UZER,16GRER,17GIER,18GZER,19RIER,20RZER,21IZER,22contamination?,23ugal,24g gal,25r gal,26i gal,27z gal,33gal ratio,34fdistance,37HRV
90,6,0.316,0.58,0.622,0.753,0.264,0.306,0.437,0.042,0.173,0.131,0.221,0.224,0.234,0.343,0.086,0.109,0.274,0.114,0.276,0.284,0,14.7904,13.5195,19.9329,12.803,13.152,0.108,0.504,932
91,2,1.321,2.123,2.592,2.945,0.802,1.271,1.625,0.469,0.823,0.353,0.166,0.165,0.165,0.168,0.024,0.023,0.038,0.019,0.036,0.035,0,14.3537,12.6868,11.6606,11.2154,10.8111,0.253,0.303,695
92,1,1.453,2.135,2.496,2.713,0.682,1.043,1.26,0.361,0.578,0.217,0.089,0.089,0.089,0.092,0.016,0.017,0.03,0.015,0.029,0.03,0,15.1439,13.5474,12.7532,12.348,12.0631,0.773,0.208,3103
93,6,1.629,2.35,2.834,3.014,0.72,1.205,1.385,0.484,0.665,0.18,0.154,0.154,0.154,0.157,0.018,0.018,0.036,0.015,0.035,0.035,0,12.7153,10.9092,10.0664,10.0098,9.2967,0.333,0.133,450
94,-11,1.769,2.636,3.075,3.278,0.867,1.306,1.509,0.44,0.643,0.203,0.07,0.069,0.069,0.071,0.011,0.011,0.017,0.009,0.016,0.016,0,13.6532,11.5775,11.9813,10.2584,9.8928,0.71,0.088,1206
95,6,1.894,2.702,3.138,3.435,0.808,1.244,1.54,0.436,0.733,0.297,0.012,0.012,0.012,0.012,0.002,0.002,0.003,0.002,0.003,0.003,0,12.6327,10.7912,9.9555,9.4444,9.2081,0.814,0.016,983
96,8,0.208,0.41,0.099,0.003,0.202,-0.109,-0.205,-0.311,-0.407,-0.096,0.052,0.052,0.057,0.117,0.023,0.032,0.107,0.033,0.107,0.11,0,13.6818,12.1791,11.5663,11.2477,10.9011,0.934,0.46,240
97,1,1.188,1.995,2.424,2.653,0.807,1.235,1.465,0.428,0.658,0.23,0.272,0.271,0.271,0.275,0.039,0.039,0.061,0.03,0.056,0.056,0,14.3703,12.3846,11.4755,12.4074,11.0672,0.92,0.491,3791
98,-11,-1.521,0.256,0.917,1.508,1.778,2.439,3.029,0.661,1.251,0.59,0.807,0.591,0.585,0.691,0.675,0.67,0.765,0.383,0.531,0.525,0,15.5632,13.1042,11.929,11.2985,10.9028,0.696,1.998,1615
99,1,1.93,2.419,2.802,2.988,0.49,0.872,1.058,0.383,0.569,0.186,0.519,0.519,0.519,0.525,0.055,0.056,0.098,0.052,0.096,0.096,0,16.0507,14.4472,13.687,13.3472,13.1661,0.511,0.656,1852
100,1,1.348,2.073,2.607,1.87,0.725,1.259,0.521,0.534,-0.203,-0.737,0.635,0.634,0.634,0.762,0.088,0.086,0.431,0.077,0.429,0.429,0,13.4512,11.8288,10.9015,9.7045,9.8426,0.571,0.354,503
101,2,1.114,1.403,1.475,2.027,0.289,0.361,0.913,0.072,0.624,0.552,0.431,0.433,0.446,0.496,0.106,0.15,0.264,0.155,0.267,0.287,0,15.1439,13.5474,12.7532,12.348,12.0631,0.773,0.545,3103
102,1,1.454,2.178,2.561,2.643,0.725,1.107,1.189,0.382,0.465,0.083,0.258,0.258,0.258,0.26,0.028,0.027,0.047,0.022,0.045,0.044,0,14.6079,12.5742,11.6705,11.2095,10.9289,0.651,0.194,1659
103,2,1.106,1.408,1.65,1.77,0.302,0.544,0.664,0.242,0.362,0.12,0.161,0.161,0.162,0.18,0.03,0.035,0.086,0.035,0.086,0.088,0,14.7688,13.2569,12.757,12.4434,12.2908,0.294,0.676,2339
