object number,1kind,2UG,3UR,4UI,5UZ,6GR,7GI,8GZ,9RI,10RZ,11IZ,12UGER,13URER,14UIER,15UZER,16GRER,17GIER,18GZER,19RIER,20RZER,21IZER,22contamination?,23ugal,24g gal,25r gal,26i gal,27z gal,33gal ratio,34fdistance,37HRV
334,BAD,0.743,0.777,0.802,1.316,0.035,0.059,0.573,0.025,0.538,0.514,0.214,0.217,0.225,0.267,0.063,0.086,0.167,0.093,0.171,0.181,0,13.728,12.5022,12.0876,11.9645,11.8983,0.221,1.073,619
335,1,-2.404,-0.266,0.285,0.995,2.138,2.689,3.399,0.551,1.261,0.71,0.896,0.937,0.903,1.026,0.694,0.649,0.811,0.703,0.855,0.818,0,17.5136,16.3269,15.8399,15.6557,15.5016,0.137,0.561,2170
336,3,0.855,1.428,1.649,1.86,0.572,0.794,1.005,0.222,0.433,0.211,0.055,0.055,0.055,0.065,0.014,0.015,0.037,0.014,0.036,0.037,0,14.8819,13.1155,12.248,11.7735,11.4053,0.311,0.451,3505
337,10,1.62,2.578,2.886,3.295,0.958,1.266,1.676,0.308,0.718,0.41,2.778,2.775,2.773,2.792,0.214,0.173,0.375,0.125,0.356,0.333,0,13.4519,11.5438,10.5343,10.0144,9.538,1,1.327,2421
338,2,0.825,1.065,1.219,1.321,0.239,0.394,0.495,0.155,0.256,0.101,0.025,0.025,0.025,0.03,0.009,0.01,0.019,0.01,0.019,0.02,0,12.874,11.6665,11.2045,10.945,10.8125,0.586,0.253,681
339,3,0.504,0.931,0.952,1.1,0.427,0.448,0.596,0.02,0.169,0.149,0.031,0.031,0.031,0.038,0.01,0.011,0.025,0.01,0.024,0.025,0,14.5482,13.7198,13.197,13.0843,13.0441,0.793,0.189,2400
340,3,1.519,2.27,2.667,2.872,0.751,1.148,1.353,0.397,0.602,0.204,0.216,0.216,0.216,0.221,0.029,0.029,0.056,0.025,0.054,0.054,0,13.5586,11.7765,10.9068,10.4521,10.0252,0.531,0.137,1335
341,3,0.804,1.348,1.555,1.661,0.544,0.752,0.857,0.208,0.313,0.106,0.044,0.043,0.044,0.052,0.015,0.016,0.033,0.015,0.032,0.032,0,14.9711,13.7473,13.2347,13.0354,12.7432,0.846,0.207,4098
342,2,1.319,1.956,2.286,2.509,0.636,0.966,1.19,0.33,0.554,0.223,0.069,0.068,0.068,0.07,0.011,0.008,0.018,0.007,0.018,0.016,0,15.0398,13.8517,13.2512,12.945,12.6614,0.625,0.066,2907
343,7,1.335,1.966,2.287,2.534,0.631,0.952,1.199,0.321,0.568,0.247,0.111,0.111,0.11,0.115,0.018,0.013,0.036,0.012,0.036,0.034,0,16.9039,15.6232,14.9518,14.5826,14.2415,0.245,0.153,5700
344,4,0.731,0.992,1.052,1.226,0.261,0.321,0.496,0.06,0.235,0.175,0.129,0.129,0.127,0.174,0.034,0.023,0.121,0.026,0.122,0.119,0,15.488,14.5392,14.1692,14.0596,13.892,0.176,0.387,4388
345,3,0.733,1.331,1.576,1.803,0.599,0.843,1.07,0.245,0.471,0.227,0.035,0.034,0.034,0.037,0.011,0.011,0.018,0.01,0.017,0.017,0,13.4311,12.1254,11.3305,10.9344,10.6821,0.888,0.424,958
346,2,0.909,1.042,1.087,1.145,0.133,0.178,0.236,0.045,0.103,0.058,0.07,0.071,0.072,0.094,0.02,0.024,0.065,0.025,0.066,0.067,0,13.8,12.9928,12.5826,12.413,12.2991,0.357,0.277,3272
347,1,0.267,0.433,-0.001,0.819,0.166,-0.269,0.552,-0.434,0.386,0.82,0.355,0.36,0.346,0.49,0.128,0.08,0.356,0.1,0.361,0.347,0,17.9437,16.3873,15.9194,15.6651,15.647,0.889,0.535,4821
348,2,1.25,1.821,2.123,2.198,0.571,0.873,0.948,0.302,0.377,0.075,0.165,0.165,0.164,0.179,0.03,0.023,0.076,0.02,0.075,0.072,0,15.7404,14.2169,13.4361,13.0156,12.6653,0.438,0.282,4222
349,3,0.981,1.483,1.749,1.922,0.503,0.768,0.942,0.266,0.439,0.173,0.098,0.098,0.097,0.107,0.023,0.017,0.048,0.015,0.048,0.045,0,15.8314,14.3935,13.7064,13.3533,13.1421,0.556,0.487,4669
350,6,0.575,1.088,1.281,1.538,0.513,0.706,0.963,0.193,0.45,0.257,0.009,0.009,0.008,0.009,0.003,0.002,0.004,0.002,0.004,0.004,0,14.2279,13.108,12.4396,12.2838,11.8299,0.733,0.03,4846
351,1,2.031,2.606,3.029,3.28,0.574,0.998,1.248,0.424,0.674,0.25,0.03,0.03,0.03,0.03,0.005,0.005,0.007,0.004,0.007,0.007,1,13.3449,11.4423,10.6435,10.1815,9.8449,0.878,0.081,2210
352,1,1.495,2.58,2.523,2.621,1.085,1.028,1.126,-0.057,0.041,0.098,0.02,0.019,0.019,0.02,0.004,0.004,0.007,0.002,0.007,0.006,1,17.5321,15.7376,14.9403,14.4044,13.9914,0.373,0.203,4500
353,2,0.963,1.547,1.843,1.996,0.584,0.88,1.033,0.297,0.449,0.153,0.08,0.08,0.08,0.091,0.018,0.018,0.047,0.017,0.047,0.047,0,15.6821,14.2638,13.6046,13.2469,13.0422,0.547,0.082,5251
354,4,1.041,1.565,1.75,1.941,0.524,0.709,0.9,0.184,0.376,0.191,0.043,0.043,0.043,0.044,0.009,0.007,0.013,0.005,0.012,0.011,0,16.2135,13.9846,13.0852,12.5368,12.2197,0.9,0.19,4963
355,2,0.698,0.945,0.99,1.024,0.247,0.292,0.326,0.045,0.079,0.034,0.105,0.105,0.11,0.159,0.037,0.049,0.125,0.05,0.125,0.129,0,15.5195,14.5273,14.0885,13.853,13.6773,0.9,0.778,3924
356,2,1.109,1.632,1.869,2.086,0.523,0.76,0.977,0.237,0.454,0.217,0.101,0.101,0.1,0.109,0.02,0.014,0.046,0.013,0.045,0.043,0,15.3988,13.845,13.2026,12.9499,12.7312,0.432,0.203,3272
357,2,0.762,1.441,1.684,1.865,0.679,0.922,1.103,0.243,0.424,0.18,0.099,0.099,0.099,0.108,0.024,0.024,0.051,0.022,0.05,0.05,1,15.8464,14.3465,13.7287,13.3931,13.3106,0.775,0.721,3724
358,2,1.601,2.073,2.348,2.41,0.472,0.747,0.809,0.275,0.337,0.062,0.497,0.498,0.499,0.545,0.056,0.065,0.229,0.065,0.229,0.231,0,15.2721,13.3138,12.4373,11.9987,11.749,0.515,0.431,4337
359,10,0.877,1.455,1.672,2.151,0.578,0.796,1.275,0.217,0.696,0.479,0.431,0.43,0.434,0.494,0.095,0.111,0.26,0.108,0.259,0.266,0,16.568,14.7924,13.7075,13.1454,12.6302,0.182,0.918,4539
360,7,2.779,3.99,4.09,4.203,1.211,1.312,1.425,0.1,0.213,0.113,0.057,0.057,0.057,0.057,0.005,0.005,0.007,0.003,0.007,0.007,1,15.4916,12.7706,11.9403,11.558,11.2999,0.816,0.242,1457
361,2,1.149,1.772,2.009,2.226,0.623,0.86,1.077,0.237,0.454,0.217,0.214,0.213,0.214,0.231,0.037,0.041,0.096,0.038,0.095,0.097,0,16.0976,14.2726,13.5507,13.2395,13.0459,0.7,0.542,5066
362,BAD,1.288,1.806,2.307,2.219,0.518,1.019,0.932,0.501,0.413,-0.087,0.425,0.425,0.425,0.453,0.067,0.064,0.169,0.063,0.169,0.167,0,13.4435,12.2207,11.6508,11.3467,11.015,0.778,0.69,1518
363,5,0.419,0.574,0.914,1.292,0.155,0.495,0.873,0.34,0.718,0.378,0.385,0.393,0.398,0.491,0.146,0.158,0.328,0.177,0.338,0.343,0,16.0008,14.8106,14.398,14.1074,13.9936,0.739,1.299,3315
364,1,1.137,1.875,2.219,2.32,0.738,1.081,1.182,0.344,0.445,0.101,0.358,0.357,0.357,0.371,0.06,0.06,0.119,0.05,0.115,0.115,0,15.1734,13.6759,12.8493,12.3368,12.0465,0.609,0.612,2132
365,3,0.433,0.398,0.267,0.144,-0.035,-0.165,-0.289,-0.131,-0.254,-0.123,0.061,0.062,0.064,0.116,0.021,0.027,0.1,0.029,0.101,0.102,0,16.1163,15.1328,14.7045,14.5269,14.4018,0.086,0.312,2931
366,3,1.537,2.412,2.875,3.219,0.876,1.338,1.682,0.463,0.806,0.344,0.057,0.056,0.056,0.057,0.01,0.01,0.014,0.008,0.013,0.012,0,13.6516,12.1429,11.2007,10.6929,10.1986,0.177,0.118,1101
367,2,1.402,1.882,2.189,2.299,0.481,0.788,0.897,0.307,0.417,0.109,0.491,0.491,0.49,0.509,0.051,0.037,0.143,0.036,0.143,0.138,0,15.7246,13.7994,12.5664,12.5543,12.22,0.737,0.404,4905
368,2,0.894,1.522,1.999,2.435,0.629,1.105,1.541,0.477,0.913,0.436,0.168,0.166,0.167,0.182,0.049,0.051,0.088,0.044,0.085,0.086,0,15.4849,13.4463,12.4369,11.8698,11.4419,0.136,0.216,3420
369,3,1.286,2.029,2.491,2.799,0.743,1.206,1.513,0.462,0.77,0.308,0.213,0.212,0.211,0.217,0.034,0.027,0.055,0.02,0.052,0.048,0,16.2391,14.3937,13.5755,13.1103,12.803,0.286,0.434,5166
370,2,0.978,1.64,1.945,2.284,0.662,0.967,1.306,0.305,0.644,0.339,0.334,0.331,0.328,0.36,0.07,0.058,0.158,0.04,0.152,0.147,0,15.6063,14.0942,13.3203,12.8603,12.7072,0.818,0.717,4834
371,2,1.3,1.961,2.264,2.47,0.661,0.964,1.17,0.303,0.509,0.206,0.203,0.202,0.202,0.206,0.027,0.023,0.049,0.014,0.045,0.043,0,15.8946,14.2001,13.4556,12.9479,12.6617,0.8,0.17,4693
372,1,1.679,2.362,2.715,2.875,0.682,1.035,1.196,0.353,0.513,0.161,0.26,0.259,0.26,0.265,0.029,0.032,0.061,0.028,0.059,0.06,0,15.9171,14.3722,13.5236,13.0733,12.6522,0.5,0.298,5155
373,7,1.551,2.247,2.637,2.96,0.695,1.085,1.409,0.39,0.714,0.324,0.152,0.151,0.151,0.156,0.023,0.023,0.045,0.021,0.044,0.044,0,15.6436,13.7865,12.9061,12.46,12.1487,0.133,0.249,2126
374,1,1.726,2.392,2.289,2.189,0.666,0.563,0.463,-0.103,-0.203,-0.1,0.225,0.224,0.224,0.229,0.019,0.016,0.051,0.011,0.05,0.048,1,17.4774,15.5709,14.4464,14.0893,13.6726,0.134,0.765,5902
375,7,-0.599,-0.266,-0.796,-75.199,0.333,-0.197,-74.6,-0.53,-74.933,-74.403,1.437,1.491,2.382,2.676,0.971,2.096,2.425,2.133,2.457,3.08,0,15.0037,13.4053,12.6284,13.9212,11.8676,0.792,1.185,5251
376,7,1.016,1.587,1.81,1.96,0.571,0.794,0.944,0.223,0.373,0.15,0.079,0.079,0.078,0.086,0.017,0.013,0.039,0.012,0.039,0.037,0,16.2377,14.8384,14.1275,13.7968,13.5292,0.6,0.447,5400
377,1,2.574,2.149,2.402,2.408,-0.424,-0.171,-0.166,0.253,0.259,0.006,0.076,0.076,0.076,0.081,0.009,0.009,0.028,0.011,0.029,0.029,1,13.7352,11.8119,10.9317,10.4103,10.1027,0.507,0.423,987
378,1,1.574,2.251,2.647,2.862,0.678,1.073,1.288,0.395,0.611,0.215,0.122,0.122,0.121,0.124,0.017,0.013,0.031,0.01,0.029,0.028,0,15.8099,14.2218,13.5778,13.4884,13.7349,0.313,0.305,3795
379,1,0.681,0.936,1.077,1.222,0.255,0.395,0.54,0.141,0.286,0.145,0.031,0.031,0.031,0.036,0.01,0.01,0.02,0.01,0.02,0.02,0,14.3461,12.9057,12.2221,11.8286,11.6938,0.737,0.408,4959
380,3,1.47,2.198,2.567,2.889,0.729,1.098,1.419,0.369,0.691,0.322,0.201,0.2,0.2,0.203,0.025,0.021,0.043,0.015,0.041,0.038,0,16.5899,14.9116,14.0445,13.5989,13.2625,0.333,0.321,5783
381,1,1.523,2.199,2.563,2.74,0.675,1.04,1.216,0.365,0.541,0.176,0.134,0.134,0.134,0.136,0.018,0.018,0.033,0.015,0.032,0.032,0,16.3736,14.8232,14.1054,13.7878,13.5043,0.321,0.651,4857
382,1,1.327,1.863,2.145,2.406,0.536,0.818,1.079,0.283,0.544,0.261,0.204,0.204,0.203,0.21,0.028,0.021,0.058,0.019,0.057,0.054,0,15.6236,14.1441,13.4388,13.1066,12.8504,0.556,0.671,3901
383,1,1.509,2.055,2.427,2.681,0.547,0.919,1.173,0.372,0.626,0.254,0.105,0.105,0.105,0.107,0.016,0.016,0.029,0.015,0.028,0.028,0,16.4619,15.4726,14.9409,14.5209,14.2567,0.11,0.125,4873
384,4,1.194,1.649,2.039,2.028,0.455,0.845,0.834,0.39,0.379,-0.011,0.157,0.157,0.156,0.17,0.026,0.018,0.069,0.019,0.069,0.066,0,14.8703,13.4444,12.7225,12.3316,12.0096,0.81,0.279,5241
385,2,1.495,2.195,2.581,2.846,0.7,1.086,1.351,0.386,0.651,0.265,0.208,0.207,0.206,0.213,0.027,0.021,0.055,0.017,0.054,0.051,0,17.0873,15.7166,14.8592,14.3781,13.9824,0.273,0.333,5027
386,1,1.114,1.637,1.896,2.127,0.523,0.782,1.013,0.259,0.49,0.231,0.083,0.083,0.083,0.092,0.019,0.021,0.045,0.02,0.045,0.046,0,15.8049,13.9758,13.2359,12.9132,12.5569,0.438,0.254,4035
387,2,1.3,2.025,2.418,2.729,0.725,1.119,1.43,0.394,0.705,0.311,0.055,0.055,0.055,0.057,0.01,0.008,0.017,0.006,0.017,0.015,0,15.8193,14.2997,13.6086,13.2181,12.936,0.385,0.102,3977
388,2,0.912,1.298,1.562,1.723,0.386,0.65,0.811,0.263,0.425,0.161,0.129,0.129,0.13,0.146,0.03,0.032,0.074,0.032,0.074,0.075,0,14.1558,12.8107,12.0973,11.7622,11.4884,0.938,0.516,1469
389,5,0.695,1.113,1.126,1.019,0.418,0.431,0.324,0.013,-0.094,-0.107,0.152,0.152,0.156,0.246,0.045,0.057,0.199,0.057,0.199,0.202,0,13.6224,11.8041,10.8934,10.3899,9.9919,0.467,0.516,877
390,2,0.851,1.09,1.284,1.447,0.239,0.433,0.596,0.194,0.357,0.162,0.072,0.072,0.073,0.096,0.025,0.029,0.069,0.029,0.069,0.07,0,14.9543,13.0775,12.4226,11.9094,11.8582,0.609,0.533,2569
391,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,15.2231,13.4565,12.6321,12.2532,11.9189,99,99,3806
392,2,1.152,1.651,1.725,1.048,0.499,0.574,-0.103,0.075,-0.602,-0.677,0.458,0.457,0.46,0.614,0.079,0.09,0.417,0.087,0.416,0.418,0,15.8281,14.0451,13.3552,12.9761,12.8991,0.826,0.576,3870
393,5,0.502,0.687,0.826,0.993,0.185,0.324,0.491,0.138,0.306,0.167,0.12,0.122,0.116,0.204,0.049,0.031,0.171,0.038,0.173,0.168,0,15.4326,14.4068,14.0579,13.8655,13.8462,0.489,0.507,1552
394,3,0.989,0.971,-2.967,1.414,-0.018,-3.956,0.425,-3.938,0.443,4.381,1.231,1.241,15.049,1.698,0.326,15.001,1.203,15.002,1.213,15.047,0,99,99,99,99,99,0.905,0.89,632
395,2,1.827,2.416,2.743,3.149,0.589,0.916,1.322,0.327,0.733,0.406,1.38,1.38,1.378,1.387,0.096,0.072,0.169,0.063,0.166,0.153,0,16.8071,15.035,14.2426,13.857,13.4995,0.545,0.479,5150
396,1,1.233,1.751,1.849,1.554,0.518,0.616,0.321,0.097,-0.198,-0.295,0.04,0.039,0.039,0.045,0.009,0.006,0.023,0.006,0.023,0.022,1,16.494,15.0578,14.0405,13.5747,13.1628,0.478,0.579,5514
397,2,1.252,1.613,1.734,1.799,0.361,0.482,0.547,0.121,0.186,0.065,0.366,0.364,0.368,0.419,0.079,0.093,0.221,0.088,0.219,0.225,0,15.6649,14.1377,13.4458,13.1297,13.0881,0.7,0.444,5200
398,3,0.897,1.414,1.74,2.059,0.517,0.843,1.162,0.326,0.645,0.319,0.19,0.19,0.19,0.202,0.04,0.041,0.08,0.039,0.079,0.079,0,15.9513,14.1858,13.4048,12.929,12.6507,0.214,0.123,4757
399,1,1.902,3.033,3.612,3.948,1.131,1.71,2.046,0.579,0.915,0.336,0.123,0.123,0.123,0.123,0.013,0.013,0.018,0.009,0.016,0.015,0,13.9909,12.0086,11.0845,10.6329,10.3689,0.341,0.139,1289
400,4,0.927,1.952,1.803,1.954,1.026,0.876,1.027,-0.15,0.002,0.152,0.429,0.425,0.431,0.478,0.09,0.116,0.237,0.098,0.228,0.24,0,15.4311,13.8496,13.2676,12.9845,12.9266,0.76,0.827,661
401,2,2.123,3.655,3.248,3.834,1.532,1.125,1.711,-0.406,0.179,0.585,0.443,0.442,0.443,0.448,0.034,0.044,0.079,0.035,0.074,0.079,0,15.8807,14.1679,13.2573,12.7961,12.2912,0.134,0.622,2265
402,2,1.108,1.644,1.995,2.173,0.535,0.886,1.065,0.351,0.529,0.178,0.139,0.139,0.139,0.15,0.026,0.027,0.062,0.026,0.061,0.062,0,15.4107,13.969,13.2874,12.9122,12.6969,0.844,0.436,3264
403,1,1.054,1.729,2.031,2.233,0.675,0.977,1.179,0.302,0.504,0.202,0.467,0.467,0.466,0.468,0.041,0.036,0.055,0.021,0.046,0.041,0,16.8804,14.7171,13.421,12.6935,12.1394,0.611,0.247,3101
404,2,0.858,1.154,1.25,1.404,0.296,0.392,0.546,0.096,0.25,0.154,0.067,0.067,0.068,0.083,0.021,0.026,0.054,0.026,0.055,0.056,0,14.8082,13.9112,13.4782,13.3953,13.2257,1,0.341,2012
405,3,-0.538,0.127,-0.315,0.918,0.664,0.223,1.456,-0.441,0.791,1.233,0.486,0.467,0.576,0.586,0.309,0.457,0.469,0.437,0.45,0.562,0,15.3903,14.0954,13.372,12.9834,12.6676,0.913,0.99,5144
406,1,1.775,2.907,3.699,4.285,1.132,1.924,2.51,0.792,1.378,0.586,0.283,0.282,0.282,0.283,0.029,0.027,0.034,0.018,0.027,0.026,0,13.9909,12.0086,11.0845,10.6329,10.3689,0.341,0.219,1289
407,14,75.763,76.226,76.841,76.513,0.462,1.077,0.75,0.615,0.287,-0.328,1.271,1.269,1.262,1.384,0.202,0.149,0.588,0.136,0.585,0.568,0,16.6785,14.39,13.2201,12.5041,12.0515,0.429,1.162,5556
408,1,1.003,1.502,1.802,1.861,0.499,0.799,0.858,0.299,0.359,0.06,0.235,0.236,0.233,0.263,0.046,0.032,0.126,0.034,0.126,0.122,0,14.6946,13.1644,12.4247,12.0772,11.7475,0.77,0.588,3445
409,3,0.993,1.493,1.673,1.904,0.5,0.681,0.912,0.181,0.412,0.231,0.086,0.086,0.085,0.095,0.018,0.013,0.044,0.012,0.044,0.042,0,15.5845,14.1993,13.6078,13.2943,13.0013,0.583,0.326,5349
410,4,1.226,1.914,2.252,2.451,0.688,1.026,1.226,0.338,0.537,0.2,0.049,0.049,0.049,0.051,0.01,0.01,0.017,0.009,0.016,0.016,0,15.2344,13.6546,12.8488,12.4222,12.1793,0.653,0.143,4342
411,7,1.69,2.249,2.554,2.74,0.559,0.863,1.05,0.304,0.49,0.186,0.502,0.502,0.5,0.529,0.059,0.042,0.177,0.042,0.177,0.172,0,15.1381,13.3012,12.5143,12.0819,11.7901,0.492,0.776,4916
412,1,1.556,2.361,2.77,2.95,0.804,1.214,1.393,0.409,0.589,0.179,0.156,0.156,0.156,0.158,0.016,0.013,0.03,0.01,0.029,0.028,0,15.3493,13.4125,12.4798,11.7605,11.6034,0.588,0.189,5427
413,2,1.104,1.635,1.892,2.16,0.531,0.788,1.056,0.257,0.525,0.268,0.069,0.069,0.068,0.073,0.013,0.01,0.028,0.009,0.028,0.026,0,14.9417,13.7902,13.2012,12.9127,12.6114,0.556,0.436,4859
414,2,1.96,2.688,3.054,3.347,0.728,1.095,1.387,0.367,0.659,0.293,1.111,1.111,1.11,1.117,0.072,0.057,0.139,0.043,0.134,0.126,0,16.8153,15.0817,14.1127,13.5197,13.2128,0.4,0.627,4059
415,9,2.368,3.038,3.369,3.446,0.67,1.001,1.079,0.331,0.408,0.078,2.279,2.278,2.277,2.287,0.117,0.095,0.235,0.069,0.225,0.215,0,16.5155,14.2989,13.2489,12.7443,12.383,1,0.742,5394
416,4,0.881,1.41,1.684,1.858,0.529,0.804,0.977,0.274,0.448,0.173,0.091,0.09,0.089,0.107,0.025,0.02,0.062,0.015,0.061,0.059,0,16.0216,13.9409,13.1632,12.6237,12.3006,0.95,0.384,4406
417,1,1.007,1.336,1.558,1.652,0.329,0.552,0.646,0.223,0.317,0.094,0.043,0.043,0.043,0.049,0.011,0.012,0.025,0.011,0.025,0.025,0,13.6163,12.1951,11.5394,11.2383,11.0038,0.909,0.18,2257
418,2,0.989,1.308,1.478,1.516,0.32,0.49,0.527,0.17,0.208,0.037,0.187,0.187,0.185,0.229,0.039,0.026,0.137,0.029,0.138,0.135,0,15.1723,13.7874,13.103,12.7595,12.4331,0.273,0.589,2686
419,1,1.312,1.893,2.31,2.294,0.581,0.998,0.982,0.417,0.401,-0.016,0.346,0.346,0.346,0.37,0.047,0.048,0.141,0.045,0.14,0.14,0,15.0769,13.2816,12.3733,11.8811,11.4483,0.793,0.35,4254
420,2,0.787,1.231,1.407,1.624,0.444,0.621,0.837,0.176,0.393,0.217,0.04,0.039,0.038,0.052,0.014,0.011,0.036,0.009,0.036,0.035,0,15.4488,14.0447,13.3385,12.9469,12.7379,0.385,0.185,2877
421,1,1.849,1.723,2.166,2.306,-0.126,0.317,0.457,0.443,0.583,0.14,0.166,0.167,0.167,0.175,0.025,0.024,0.06,0.028,0.062,0.061,1,13.7561,12.0029,11.143,10.7436,10.3773,0.8,0.588,2061
422,2,0.368,0.52,0.472,0.281,0.152,0.104,-0.088,-0.048,-0.239,-0.191,0.033,0.034,0.035,0.076,0.014,0.017,0.069,0.018,0.07,0.07,0,14.9358,14.3463,14.0647,13.9724,13.8996,0.533,0.149,3494
423,3,0.819,1.233,1.495,1.664,0.414,0.677,0.845,0.262,0.431,0.169,0.034,0.034,0.034,0.038,0.01,0.01,0.02,0.009,0.02,0.02,0,15.1712,13.624,12.8361,12.3765,12.0914,0.818,0.084,5153
424,3,1.004,1.523,1.778,1.996,0.519,0.773,0.992,0.255,0.473,0.218,0.08,0.08,0.08,0.09,0.019,0.021,0.045,0.02,0.044,0.045,0,15.0111,13.5048,12.758,12.3555,12.0615,0.667,0.338,2527
425,1,1.12,1.9,2.292,2.49,0.78,1.172,1.369,0.392,0.589,0.197,0.179,0.179,0.178,0.182,0.025,0.02,0.045,0.014,0.043,0.04,0,15.6897,14.0857,13.2342,12.7804,12.5425,0.944,0.158,5204
426,3,0.733,1.235,1.477,1.544,0.502,0.744,0.811,0.242,0.309,0.067,0.129,0.129,0.128,0.147,0.026,0.019,0.076,0.018,0.076,0.074,0,15.2231,13.4565,12.6321,12.2532,11.9189,0.654,0.282,3806
427,3,1.531,2.349,2.831,3.111,0.817,1.3,1.58,0.483,0.763,0.28,0.473,0.473,0.472,0.477,0.04,0.033,0.073,0.024,0.07,0.066,0,16.2397,14.2289,13.2577,12.7818,12.3817,0.316,0.262,5414
428,1,1.201,1.59,1.803,1.842,0.389,0.602,0.641,0.214,0.252,0.039,0.111,0.111,0.11,0.126,0.022,0.015,0.064,0.015,0.064,0.062,0,17.2926,15.4386,15.1312,14.9356,13.0869,0.313,0.427,4501
429,3,1.563,2.266,2.595,2.856,0.703,1.032,1.293,0.329,0.59,0.261,0.152,0.152,0.152,0.155,0.017,0.014,0.033,0.011,0.032,0.03,0,15.7558,14.3212,13.6211,13.3144,13.1119,0.4,0.151,4218
430,1,1.271,1.745,2.005,2.187,0.474,0.734,0.916,0.26,0.442,0.182,0.063,0.063,0.063,0.066,0.013,0.013,0.025,0.013,0.025,0.025,0,14.8469,13.7778,13.1872,13.0611,12.7575,0.375,0.215,2706
431,1,0.152,0.524,0.786,1.123,0.372,0.634,0.97,0.262,0.598,0.336,0.274,0.275,0.265,0.373,0.102,0.069,0.271,0.074,0.273,0.262,0,15.748,14.2085,13.4875,13.0235,12.6866,0.545,0.92,5867
432,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,14.9493,13.6783,13.0692,12.7771,12.5482,99,99,5246
433,1,0.565,0.917,1.103,1.171,0.352,0.538,0.605,0.186,0.254,0.068,0.158,0.157,0.156,0.166,0.029,0.022,0.059,0.019,0.058,0.055,0,17.5231,15.6956,14.492,13.8637,13.5573,0.583,0.295,5176
434,4,1.117,1.758,2.032,2.352,0.64,0.915,1.235,0.275,0.594,0.32,0.161,0.16,0.159,0.175,0.032,0.024,0.078,0.021,0.077,0.074,0,15.5331,14.2216,13.5479,13.0727,12.95,1,0.218,3449
435,3,0.93,1.259,1.447,1.528,0.329,0.517,0.598,0.188,0.269,0.08,0.11,0.11,0.111,0.138,0.027,0.029,0.087,0.029,0.087,0.088,0,15.5543,14.3361,13.8095,13.5276,13.3604,0.592,0.349,5329
436,2,1.508,2.443,2.944,3.35,0.935,1.436,1.841,0.501,0.906,0.405,0.137,0.136,0.136,0.137,0.019,0.019,0.027,0.015,0.023,0.024,0,14.2924,12.5732,11.5197,10.9996,10.6416,0.133,0.3,775
437,2,0.88,1.338,1.445,1.763,0.457,0.565,0.883,0.108,0.426,0.318,0.261,0.259,0.257,0.271,0.053,0.041,0.095,0.033,0.092,0.086,0,16.344,15.033,13.5343,12.9563,12.6465,0.368,0.407,4930
438,3,0.746,1.289,1.389,1.411,0.543,0.643,0.665,0.1,0.122,0.022,0.071,0.07,0.072,0.098,0.022,0.026,0.072,0.025,0.071,0.073,0,14.7347,13.2668,12.4106,12.1021,11.7768,0.88,0.539,3039
439,2,1.035,1.397,1.569,1.679,0.363,0.535,0.645,0.172,0.282,0.11,0.212,0.212,0.213,0.249,0.045,0.05,0.138,0.052,0.138,0.14,0,16.0239,15.0519,14.685,14.476,14.4304,0.727,0.272,5478
440,2,1.5,2.449,3.101,3.616,0.95,1.601,2.117,0.651,1.167,0.516,0.089,0.089,0.088,0.089,0.013,0.012,0.015,0.009,0.012,0.011,0,15.9964,13.8008,12.9406,12.4423,12.1452,0.226,0.04,1262
441,2,1.739,2.264,2.339,2.397,0.526,0.6,0.659,0.074,0.133,0.059,0.103,0.103,0.103,0.107,0.013,0.014,0.031,0.013,0.03,0.03,1,14.8491,13.63,12.8321,12.4882,12.0835,0.882,0.394,4295
442,1,1.885,2.893,3.474,3.872,1.008,1.588,1.986,0.581,0.978,0.398,0.111,0.111,0.111,0.111,0.012,0.012,0.015,0.008,0.013,0.012,0,14.6388,12.5593,11.3913,10.756,10.2491,0.636,0.115,1233
443,2,0.105,-0.098,0.671,1.504,-0.203,0.566,1.399,0.768,1.602,0.833,0.3,0.336,0.313,0.363,0.238,0.205,0.275,0.254,0.314,0.29,0,15.3267,14.2156,13.6884,13.4635,13.3755,0.908,1.019,5399
444,2,1.12,1.588,1.939,2.169,0.469,0.82,1.05,0.351,0.581,0.23,0.124,0.123,0.122,0.131,0.024,0.018,0.049,0.016,0.049,0.046,0,16.7368,15.3894,14.7531,14.383,14.0796,0.191,0.192,4152
445,3,1.45,2.202,2.619,2.988,0.751,1.169,1.537,0.418,0.786,0.369,0.126,0.125,0.125,0.127,0.019,0.016,0.031,0.01,0.029,0.027,0,16.623,15.2448,14.576,14.2029,13.9059,0.13,0.066,5536
446,6,0.18,0.293,0.018,0.053,0.112,-0.162,-0.127,-0.274,-0.239,0.035,0.05,0.051,0.056,0.113,0.023,0.033,0.104,0.035,0.104,0.107,0,14.6202,14.0023,13.8885,13.5819,13.5269,0.889,0.774,1804
447,3,1.386,1.98,2.081,3.073,0.594,0.695,1.687,0.101,1.093,0.992,0.874,0.873,0.88,0.902,0.17,0.205,0.283,0.2,0.28,0.302,0,15.6709,14.0031,13.2407,12.815,12.5432,0.117,0.163,2237
